RUN	simulations.FullVideoGameDBTest	fullvideogamedbtest	1633424836946	 	3.6.1
REQUEST		Get All Video Games	1633424848947	1633424848948	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
USER	Video Game DB	START	1633424848876
REQUEST		Post New Game	1633424851030	1633424851030	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424851854	1633424851854	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
USER	Video Game DB	START	1633424851853
REQUEST		Get Last Posted Game	1633424853059	1633424853059	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424854856	1633424859773	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
USER	Video Game DB	START	1633424854854
REQUEST		Delete Last Posted Game	1633424855075	1633424859773	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424853858	1633424859773	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424859780	1633424859780	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424861779	1633424861779	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424861780	1633424861780	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424861797	1633424861797	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424863789	1633424863789	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424863789	1633424863789	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424863793	1633424863793	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424863805	1633424863805	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424865809	1633424865809	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424865811	1633424865811	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424865813	1633424865813	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424865825	1633424865825	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424865828	1633424865828	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424867821	1633424867821	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424867824	1633424867824	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424867839	1633424867840	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424869844	1633424875771	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424869844	1633424875771	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424869828	1633424875771	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424875776	1633424875776	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424877785	1633424877785	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424877785	1633424877785	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424877789	1633424877789	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424877790	1633424877790	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424877790	1633424877790	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424879800	1633424879801	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424879802	1633424879802	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424879804	1633424879804	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424881809	1633424881809	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424881809	1633424881809	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424881809	1633424881809	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424881818	1633424881818	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424883817	1633424883817	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424883818	1633424883818	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424883832	1633424883833	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424883833	1633424883833	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424883834	1633424883834	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424885839	1633424891770	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424885839	1633424891770	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424885823	1633424891770	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424893788	1633424893789	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424893789	1633424893789	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424893788	1633424893789	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424893792	1633424893792	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424895809	1633424895809	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424895809	1633424895809	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424895811	1633424895812	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424895812	1633424895812	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424895811	1633424895812	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424897827	1633424897827	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424897829	1633424897829	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424897832	1633424897833	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424899842	1633424899842	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424899842	1633424899842	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424899842	1633424899842	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424899847	1633424899847	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
