RUN	simulations.FullVideoGameDBTest	fullvideogamedbtest	1633424547152	 	3.6.1
REQUEST		Get All Video Games	1633424558944	1633424558945	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
USER	Video Game DB	START	1633424558898
REQUEST		Post New Game	1633424560991	1633424560991	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424561895	1633424561895	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
USER	Video Game DB	START	1633424561893
REQUEST		Get Last Posted Game	1633424563021	1633424563021	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424564898	1633424569807	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424565026	1633424569807	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
USER	Video Game DB	START	1633424564897
REQUEST		Post New Game	1633424563918	1633424569807	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424569816	1633424569816	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424571817	1633424571817	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424571830	1633424571830	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424571834	1633424571834	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424573833	1633424573833	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424573849	1633424573849	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424573849	1633424573849	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424573851	1633424573851	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424575837	1633424575837	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424575840	1633424575840	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424575853	1633424575854	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424575858	1633424575858	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424575870	1633424575870	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424577847	1633424577847	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424577876	1633424577876	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424577881	1633424577881	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424579898	1633424585802	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424579867	1633424585802	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424579884	1633424585802	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424585807	1633424585808	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424587820	1633424587820	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424587820	1633424587820	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424587824	1633424587825	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424587825	1633424587825	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424587826	1633424587827	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424589843	1633424589843	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424589846	1633424589846	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424589849	1633424589849	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424591862	1633424591862	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424591862	1633424591863	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424591867	1633424591867	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424591862	1633424591862	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424593886	1633424593887	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424593886	1633424593887	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424593890	1633424593890	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424593891	1633424593891	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424593891	1633424593891	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424595910	1633424601801	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424595908	1633424601801	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424595911	1633424601801	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424603815	1633424603815	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424603815	1633424603816	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424603815	1633424603815	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424603819	1633424603819	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424605825	1633424605825	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424605825	1633424605825	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424605829	1633424605829	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424605828	1633424605828	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424605829	1633424605829	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424607848	1633424607848	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424607851	1633424607851	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
